,subj_id,cond,subj_prior_a,subj_prior_b,subj_post_a,subj_post_b,subj_prior_belief,subj_prior_con,subj_post_belief,subj_post_con,age,gender,time,pol_orient,position,subj_a_diff,subj_b_diff
0,0,1,20.8841149658046,20.50782460609766,40.48162304857743,6.1464244419745455,50.4949494949,60.0,90.09090909081999,80.0,35,1,424779,2,1,19.597508082772833,-14.361400164123115
1,0,2,1.7623922196189497,1.7306374048541875,20.220540230823246,3.070134380618148,50.4949494949,10.0,90.09090909081999,65.0,35,1,424779,2,1,18.458148011204297,1.3394969757639605
2,0,3,1.7623922196189497,1.7306374048541875,23.624682533116257,8.657492356886344,50.4949494949,10.0,75.24242424235,60.0,35,1,424779,2,1,21.862290313497308,6.926854952032157
3,1,1,6.803233504268284,3.8117407577054796,33.60375842731576,5.930075016580484,34.656565656531996,33.0,87.111111111122,74.0,40,1,630457,1,0,26.800524923047476,2.1183342588750045
4,1,2,29.363729699881667,4.816273125373799,24.157552437084128,2.2835497328576464,88.10101010102,72.0,94.04040404040799,76.0,40,1,630457,1,0,-5.206177262797539,-2.5327233925161527
5,1,3,19.11518150542637,36.95601757705747,18.986935942956425,35.26145246539751,31.676767676834004,69.0,32.666666666732,68.0,40,1,630457,1,0,-0.1282455624699459,-1.694565111659962
6,2,1,12.911752108279773,13.148664990976593,12.26049773234299,4.4929774298598275,50.4949494949,50.0,74.24242424244801,46.0,28,0,520596,1,0,-0.6512543759367819,-8.655687561116766
7,2,2,13.148664990999603,12.91175210825588,6.568362387031268,2.0845700988760107,49.494949494998004,50.0,77.212121212142,34.0,28,0,520596,1,0,-6.5803026039683346,-10.82718200937987
8,2,3,13.148664990999603,12.91175210825588,9.523419397416854,4.351761181595749,49.494949494998004,50.0,69.29292929295801,40.0,28,0,520596,1,0,-3.625245593582749,-8.55999092666013
9,3,1,14.931809085563383,10.144511516169086,30.674536226652382,14.016841057253451,60.39393939388,50.0,70.29292929286,65.0,62,1,923228,6,1,15.742727141088999,3.8723295410843654
10,3,2,8.85631380034324,7.246074927568199,18.728076838266684,6.863084058767534,55.444444444389994,40.0,75.24242424235,55.0,62,1,923228,6,1,9.871763037923444,-0.3829908688006656
11,3,3,23.624682533116257,8.657492356886344,43.96547303951278,12.598293444123836,75.24242424235,60.0,80.19191919184,75.0,62,1,923228,6,1,20.340790506396523,3.9408010872374923
12,4,1,13.705174331891804,10.808145611351629,42.34373476190789,20.177215893316017,56.434343434287996,49.0,69.303030302962,72.0,39,0,592174,7,1,28.638560430016085,9.369070281964389
13,4,2,8.729712790134483,6.392624326647725,43.19459575926427,10.493602359645628,58.41414141408399,39.0,83.16161616153398,76.0,39,0,592174,7,1,34.46488296912978,4.100978032997903
14,4,3,2.9363573342284974,4.488914085666143,34.71742088200748,21.859116851686306,38.616161616123996,25.0,62.37373737367599,68.0,39,0,592174,7,1,31.781063547778984,17.370202766020164
15,5,1,4.680427426024716,6.158457139493198,53.90969724004302,19.755727559993804,57.424242424186,32.0,74.24242424244801,78.0,42,0,602687,5,0,49.22926981401831,13.597270420500607
16,5,2,3.4750580634846284,4.247293188694854,9.739854248221603,7.968971657622979,43.555555555610006,25.0,54.444444444488,42.0,42,0,602687,5,0,6.264796184736975,3.7216784689281246
17,5,3,4.192844229028691,3.558632496900842,13.99168747673298,6.948252964627275,53.454545454590004,25.0,67.313131313162,48.0,42,0,602687,5,0,9.79884324770429,3.389620467726433
18,6,1,12.911752108279773,13.148664990976593,83.58583229907656,21.49349973402784,50.4949494949,50.0,81.171717171734,90.0,64,1,954224,4,0,70.67408019079679,8.344834743051246
19,6,2,12.911752108279773,13.148664990976593,44.35431130563856,22.941885158059204,48.5050505051,50.0,66.32323232326401,73.0,64,1,954224,4,0,31.44255919735879,9.79322016708261
20,6,3,12.911752108279773,13.148664990976593,40.23178707296999,17.617841397946076,48.5050505051,50.0,70.282828282856,71.0,64,1,954224,4,0,27.320034964690223,4.469176406969483
21,7,1,12.911752108279773,13.148664990976593,1.723249433905252,6.013788840746127,50.4949494949,50.0,18.80808080816,33.0,43,1,1216024,6,0,-11.18850267437452,-7.1348761502304665
22,7,2,13.148664990999603,12.91175210825588,7.6021749735550745,26.530039193315446,49.494949494998004,50.0,18.80808080816,63.99999999999999,43,1,1216024,6,0,-5.546490017444528,13.618287085059565
23,7,3,12.911752108279773,13.148664990976593,3.927265471507435,12.374591202626384,48.5050505051,50.0,20.787878787956018,47.0,43,1,1216024,6,0,-8.984486636772338,-0.7740737883502096
24,8,1,12.911752108279773,13.148664990976593,37.42425689648933,13.714479235344196,50.4949494949,50.0,74.24242424244801,70.0,36,1,1028401,1,0,24.51250478820956,0.5658142443676031
25,8,2,1.7306374048541875,1.7623922196189497,5.731538027229698,3.8939456826159717,48.5050505051,10.0,59.39393939397801,29.999999999999996,36,1,1028401,1,0,4.000900622375511,2.1315534629970223
26,8,3,4.569594133127894,5.383977245951926,5.188269510837572,3.524854858502781,44.545454545508,29.999999999999996,59.39393939397801,28.0,36,1,1028401,1,0,0.6186753777096783,-1.8591223874491454
27,9,1,1.0650891565177407,0.14900210998031072,2.6601719027452804,0.609313117391652,91.08080808071799,13.0,84.151515151432,20.0,28,1,765971,1,1,1.5950827462275396,0.46031100741134123
28,9,2,6.604554473101981,17.215150184006657,53.21852226786858,26.428245752144488,25.74747474745,53.0,68.31313131306399,77.0,28,1,765971,1,1,46.613967794766594,9.213095568137831
29,9,3,21.267412916619907,11.451683878210149,22.29809427824572,11.53349704050319,66.333333333268,57.0,67.323232323166,58.0,28,1,765971,1,1,1.0306813616258133,0.08181316229304159
30,10,1,22.13600772849313,48.44256763757365,47.098894910169584,31.998485854953614,70.29292929286,75.0,59.39393939397801,75.0,56,1,1220726,3,0,24.962887181676454,-16.44408178262004
31,10,2,20.279564576103578,29.84969617374779,55.223888539536375,15.82438911365253,38.60606060612,65.0,79.191919191938,80.0,56,1,1220726,3,0,34.944323963432794,-14.025307060095262
32,10,3,18.437170002447147,22.53431889183432,44.71268018718741,36.58310197127604,43.555555555610006,60.0,54.444444444488,75.0,56,1,1220726,3,0,26.275510184740263,14.048783079441716
33,11,1,9.612656637336869,8.158641347671788,18.025334658427422,21.237770538182147,54.454545454492,42.0,45.545454545409996,58.99999999999999,38,0,362761,4,1,8.412678021090553,13.07912919051036
34,11,2,12.974744518157442,11.846505864427069,9.937228016076393,8.748157997075634,52.474747474695995,49.0,53.46464646459399,43.0,38,0,362761,4,1,-3.037516502081049,-3.0983478673514355
35,11,3,12.37978565495606,8.41069407094339,11.173813440274957,7.882302504397441,60.39393939388,46.0,59.404040403981995,44.0,38,0,362761,4,1,-1.2059722146811023,-0.528391566545948
36,12,1,12.911752108279773,13.148664990976593,56.71705653876289,15.408680100111326,50.4949494949,50.0,80.18181818183601,81.0,38,0,867624,2,0,43.80530443048312,2.2600151091347325
37,12,2,12.911752108279773,13.148664990976593,9.124897184064722,4.719774405544606,48.5050505051,50.0,66.32323232326401,39.0,38,0,867624,2,0,-3.786854924215051,-8.428890585431986
38,12,3,12.911752108279773,13.148664990976593,32.95247939205513,10.457972501659274,48.5050505051,50.0,77.212121212142,68.0,38,0,867624,2,0,20.04072728377536,-2.6906924893173194
39,13,1,3.250213302246448,7.112785632431346,39.94471729102878,30.357985141134627,70.29292929286,34.0,56.424242424284,72.0,25,0,1056540,4,0,36.69450398878233,23.24519950870328
40,13,2,30.564270755621564,17.810834037424176,87.62462078881197,43.51426746649758,63.35353535357,65.0,67.313131313162,88.0,25,0,1056540,4,0,57.0603500331904,25.703433429073403
41,13,3,4.2035093673033765,7.502466085927271,52.829382840702564,30.785467698496795,33.656565656629994,35.0,63.35353535357,77.0,25,0,1056540,4,0,48.62587347339919,23.283001612569524
42,14,1,2.49924379677921,0.9158719503756872,10.320564649504755,6.751046048939821,75.24242424235,15.0,61.383838383778,42.0,65,1,2050224,7,1,7.821320852725545,5.835174098564133
43,14,2,1.6438181994250727,1.4471220046248727,56.90585499794502,21.8318060055742,53.46464646459399,8.0,74.252525252452,79.0,65,1,2050224,7,1,55.26203679851995,20.384684000949328
44,14,3,24.40870798903239,17.87409325184974,37.510472259042025,25.484213977574807,58.41414141408399,61.00000000000001,60.39393939388,70.0,65,1,2050224,7,1,13.101764270009635,7.610120725725068
45,15,1,2.7890461729185936,2.64095522568888,11.979701277490987,5.023745697028146,51.48484848479799,18.0,72.272727272656,45.0,43,1,876447,1,1,9.190655104572393,2.3827904713392662
46,15,2,1.502050886995956,1.4222959726448285,30.56844846659125,13.386183315476172,51.48484848479799,7.0,71.28282828275799,65.0,43,1,876447,1,1,29.066397579595293,11.963887342831343
47,15,3,2.041413500167052,1.8638992827647534,15.214587752733328,9.21759695970763,52.474747474695995,12.0,63.36363636357399,50.0,43,1,876447,1,1,13.173174252566277,7.3536976769428755
48,16,1,13.518583233435114,23.198556412873838,10.438795041779699,4.571237044433982,64.353535353472,58.99999999999999,70.282828282856,42.0,69,0,949226,7,0,-3.0797881916554157,-18.627319368439856
49,16,2,12.012023582706933,17.028033430393048,33.729788725236666,16.750167190062225,39.595959596018005,53.0,67.313131313162,67.0,69,0,949226,7,0,21.717765142529736,-0.2778662403308232
50,16,3,22.555528760625986,8.265690663822694,30.776199921497334,15.283419008615306,74.24242424244801,58.99999999999999,67.313131313162,65.0,69,0,949226,7,0,8.220671160871348,7.017728344792612
51,17,1,13.190457904201471,20.94955078897606,5.290346395676001,9.07849566663117,62.37373737367599,57.0,34.646464646528,39.0,57,0,1449880,6,0,-7.9001115085254705,-11.871055122344892
52,17,2,14.672125971210317,10.7441552387439,4.301382026527555,7.099871537745039,57.414141414182005,50.0,35.63636363642601,34.0,57,0,1449880,6,0,-10.370743944682761,-3.6442837009988613
53,17,3,20.431419412130758,35.061324670112,3.88801272721548,7.516824605929552,34.646464646528,68.0,31.676767676834004,35.0,57,0,1449880,6,0,-16.54340668491528,-27.54450006418245
54,18,1,2.3778753289116454,1.945534360015475,55.607673977038786,29.94259367990448,44.555555555512,14.0,65.333333333366,78.0,52,1,1423420,1,0,53.229798648127144,27.997059319889004
55,18,2,1.4767759884080698,1.4501674120377726,26.50226575901424,11.113853382799318,49.494949494998004,7.0,71.272727272754,62.0,52,1,1423420,1,0,25.02548977060617,9.663685970761545
56,18,3,1.8328403141171201,1.8664704116204625,58.267473307810285,30.138348262621466,48.5050505051,11.0,66.32323232326401,79.0,52,1,1423420,1,0,56.434632993693164,28.271877851001005
57,19,1,76.7083366826823,78.11582909873627,52.765659685901234,15.11998435442445,50.4949494949,89.0,79.191919191938,79.0,40,0,1338841,4,0,-23.942676996781067,-62.995844744311825
58,19,2,93.57920664598836,91.89309481436536,51.84852721396391,12.595969888126474,49.494949494998004,93.0,82.161616161632,80.0,40,0,1338841,4,0,-41.73067943202445,-79.29712492623888
59,19,3,70.07921729641423,71.3650744943838,23.904910120527447,15.637046469796111,48.5050505051,87.0,60.383838383876004,60.0,40,0,1338841,4,0,-46.17430717588678,-55.728028024587694
60,20,1,3.940362598866859,3.8693650745699872,24.292641323456376,14.156143505071137,50.4949494949,25.0,64.353535353472,60.0,29,0,503858,1,1,20.352278724589517,10.28677843050115
61,20,2,1.3898038358784848,1.3647623253245973,11.416748217971357,7.188322952073129,50.4949494949,6.0,62.37373737367599,44.0,29,0,503858,1,1,10.026944382092871,5.823560626748532
62,20,3,1.4767759884055,1.4501674120404704,22.974993320305018,14.465736535041254,50.4949494949,7.0,62.37373737367599,58.99999999999999,29,0,503858,1,1,21.498217331899518,13.015569123000784
63,21,1,78.7279259952245,83.14257605087714,97.09327875629545,20.920651223713914,51.48484848479799,90.0,84.141414141428,95.0,45,0,594797,4,0,18.36535276107095,-62.22192482716322
64,21,2,42.15168254100703,39.91354010513163,63.90903217610685,9.703465618354837,50.484848484896006,75.0,89.090909090918,90.0,45,0,594797,4,0,21.75734963509982,-30.210074486776794
65,21,3,118.16082524854262,124.78666591645357,134.79738377839547,42.78000802543414,47.51515151520201,99.0,77.212121212142,99.0,45,0,594797,4,0,16.63655852985285,-82.00665789101943
66,22,1,11.851609682714296,18.11797802065914,0.8185472976426537,1.2048280448420767,61.383838383778,53.99999999999999,38.60606060612,2.0,43,0,837602,5,0,-11.033062385071641,-16.913149975817063
67,22,2,16.10451073337473,11.793066914972933,14.5979720331207,29.395916285791216,57.414141414182005,52.0,30.68686868693601,63.99999999999999,43,0,837602,5,0,-1.5065387002540316,17.602849370818284
68,22,3,1.1385480586811798,2.4916051718891294,3.490910591085172,1.6634540400452213,28.707070707140005,14.0,68.30303030306,20.0,43,0,837602,5,0,2.3523625324039923,-0.8281511318439081
69,23,1,8.902533777303852,8.128400405379788,53.06838939395731,13.6461572727944,52.474747474695995,41.0,82.17171717163599,80.0,48,1,1079729,7,1,44.16585561665346,5.517756867414612
70,23,2,8.488802202063095,7.750645488854904,35.27290620320383,16.80789490224603,52.474747474695995,40.0,69.303030302962,68.0,48,1,1079729,7,1,26.784104001140737,9.057249413391126
71,23,3,7.3534207068450375,6.713992819306018,62.20454938156948,15.111839680340807,52.474747474695995,37.0,83.16161616153398,84.0,48,1,1079729,7,1,54.85112867472444,8.39784686103479
72,24,1,1.7306374048541875,1.7623922196189497,60.804659232067685,27.78491050998365,50.4949494949,10.0,69.29292929295801,80.0,25,0,677867,1,0,59.0740218272135,26.0225182903647
73,24,2,1.7623922196220196,1.7306374048509712,55.223888539536375,15.82438911365253,49.494949494998004,10.0,79.191919191938,80.0,25,0,677867,1,0,53.46149631991435,14.093751708801559
74,24,3,2.9918662557309923,3.046762884270975,59.04220610936805,21.636584847508338,48.5050505051,20.0,74.24242424244801,80.0,25,0,677867,1,0,56.05033985363706,18.589821963237362
75,25,1,33.273509807996,35.13931409622961,23.3520898754674,12.078667176950255,51.48484848479799,71.0,66.32323232326401,58.99999999999999,51,1,1294936,2,0,-9.9214199325286,-23.060646919279357
76,25,2,112.08398467641179,110.0644534207848,38.257045627724004,16.043277198704054,49.494949494998004,97.0,71.272727272754,70.0,51,1,1294936,2,0,-73.82693904868779,-94.02117622208075
77,25,3,120.44940895980461,122.65948985792662,8.984821429939192,3.7678283415829608,48.5050505051,99.0,71.272727272754,39.0,51,1,1294936,2,0,-111.46458752986543,-118.89166151634366
78,26,1,12.648866815973593,24.45447584414932,10.512832578009402,5.009470557300244,67.323232323166,60.0,68.30303030306,42.0,30,1,1106086,2,0,-2.136034237964191,-19.445005286849078
79,26,2,13.803237308698746,19.567226514485718,10.726802360204148,18.40772256869935,39.595959596018005,56.00000000000001,34.646464646528,53.99999999999999,30,1,1106086,2,0,-3.0764349484945974,-1.1595039457863692
80,26,3,12.911752108279773,13.148664990976593,4.513522673592412,2.8418476092948945,48.5050505051,50.0,61.373737373774,25.0,30,1,1106086,2,0,-8.39822943468736,-10.306817381681698
81,27,1,122.65948985792662,120.44940895980461,29.095030657182598,8.337172527531791,50.4949494949,99.0,80.19191919184,66.0,31,1,1125636,3,1,-93.56445920074401,-112.11223643227282
82,27,2,32.11435779496539,14.674772767279222,56.41836353389899,20.675052475227357,70.29292929286,66.0,75.24242424235,79.0,31,1,1125636,3,1,24.304005738933597,6.000279707948135
83,27,3,16.663867852759886,32.21681118204417,56.41836353389899,20.675052475227357,32.67676767673599,66.0,75.24242424235,79.0,31,1,1125636,3,1,39.754495681139105,-11.541758706816811
84,28,1,1.8664704116204625,1.8328403141171201,7.640195589651989,2.931144219939218,50.4949494949,11.0,74.252525252452,36.0,51,0,1782313,1,1,5.773725178031526,1.098303905822098
85,28,2,1.5945938303142513,1.5099251313623152,4.799524214428818,2.4825125247112907,51.48484848479799,8.0,67.323232323166,26.0,51,0,1782313,1,1,3.2049303841145664,0.9725873933489755
86,28,3,1.9753269749789637,1.9397354979558428,5.586381099687812,3.008051361378293,50.4949494949,12.0,66.333333333268,29.0,51,0,1782313,1,1,3.6110541247088483,1.0683158634224503
87,29,1,10.560865491479792,11.996322936900434,56.16327765339443,16.94868142201297,53.46464646459399,47.0,78.20202020204,80.0,29,0,708265,3,0,45.60241216191464,4.952358485112537
88,29,2,17.957894944778275,16.396338862595563,52.765659685901234,15.11998435442445,51.474747474794,56.00000000000001,79.191919191938,79.0,29,0,708265,3,0,34.80776474112296,-1.2763545081711136
89,29,3,18.359759065095393,24.157577717179755,53.518933286261195,37.75366611660828,41.575757575814,61.00000000000001,58.40404040408,78.0,29,0,708265,3,0,35.1591742211658,13.596088399428524
90,30,1,1.3898038358784848,1.3647623253245973,9.99059101329788,5.821855194814046,50.4949494949,6.0,64.353535353472,41.0,42,0,645961,2,1,8.600787177419395,4.457092869489449
91,30,2,8.062884795682988,8.210827635985382,4.410177282566936,3.7430916431944623,49.505050505001996,40.0,54.454545454492,26.0,42,0,645961,2,1,-3.6527075131160522,-4.467735992790919
92,30,3,11.976329272621202,11.76053955601878,32.00381677754573,14.014743294784955,50.4949494949,48.0,71.28282828275799,66.0,42,0,645961,2,1,20.02748750492453,2.254203738766174
93,31,1,1.3898038358784848,1.3647623253245973,7.197628640431698,2.6376403092356857,50.4949494949,6.0,75.24242424235,35.0,33,0,758586,3,1,5.8078248045532135,1.2728779839110884
94,31,2,1.3066494158764443,1.283106183160283,3.841488737977846,1.6822205584660128,50.4949494949,5.0,71.28282828275799,22.0,33,0,758586,3,1,2.5348393221014014,0.3991143753057298
95,31,3,1.3066494158764443,1.283106183160283,3.4909105910866183,1.663454040052759,50.4949494949,5.0,69.303030302962,20.0,33,0,758586,3,1,2.1842611752101737,0.3803478568924761
96,32,1,36.923427815622986,17.5943850665554,32.282762377805724,11.289064144426685,69.303030302962,69.0,76.23232323224799,67.0,31,1,545301,1,1,-4.640665437817262,-6.305320922128715
97,32,2,12.841034016212511,47.26593371929634,18.04903577009157,5.728137100709956,18.818181818164,77.0,78.21212121204398,55.0,31,1,545301,1,1,5.20800175387906,-41.537796618586384
98,32,3,70.48868425908562,21.271733119691493,87.89985090375379,14.417435862616824,79.202020201942,85.0,89.101010100922,96.0,31,1,545301,1,1,17.41116664466817,-6.85429725707467
99,33,1,89.44930310740524,87.83760395247658,51.87345296852347,40.90833282892006,50.4949494949,92.0,56.434343434287996,78.0,37,0,1453882,6,1,-37.57585013888177,-46.929271123556525
100,33,2,49.09123951464783,44.82243607867643,65.81178082289686,50.01695342550726,52.474747474695995,78.0,57.424242424186,83.0,37,0,1453882,6,1,16.720541308249032,5.194517346830828
101,33,3,26.238524502129945,37.19527099758062,44.04262936756571,25.665129343753563,40.59595959592,70.0,64.353535353472,73.0,37,0,1453882,6,1,17.804104865435765,-11.530141653827059
102,34,1,1.7398413103154826,2.1264727126035163,3.734070458398384,3.287258608669979,55.444444444389994,12.0,52.46464646469201,23.0,39,0,1086339,4,0,1.9942291480829015,1.1607858960664625
103,34,2,1.551810136559139,1.8966568335684495,2.3243705906107603,2.5457392182831518,43.555555555610006,10.0,46.525252525304005,16.0,39,0,1086339,4,0,0.7725604540516213,0.6490823847147023
104,34,3,4.284229160662902,3.911687494511604,60.804659232067685,27.78491050998365,51.474747474794,26.0,69.29292929295801,80.0,39,0,1086339,4,0,56.52043007140478,23.873223015472046
105,35,1,10.297479439542307,29.447178046304465,10.144511516169086,14.931809085563383,76.23232323224799,65.0,38.60606060612,50.0,21,0,888350,1,0,-0.15296792337322174,-14.515368960741082
106,35,2,7.323570657966077,4.975555637847492,16.810293212508004,7.681524712990938,59.39393939397801,35.0,69.29292929295801,52.0,21,0,888350,1,0,9.486722554541927,2.7059690751434458
107,35,3,8.023740021008246,11.810224075839328,8.856313800354311,7.246074927550908,38.60606060612,45.0,54.444444444488,40.0,21,0,888350,1,0,0.832573779346065,-4.564149148288419
108,36,1,4.91061035455414,9.119704944147925,8.337172527531791,29.095030657182598,66.333333333268,39.0,18.80808080816,66.0,30,0,1132444,7,0,3.4265621729776514,19.97532571303467
109,36,2,1.0811482121094003,2.0078466796264487,1.0811482121094003,2.0078466796264487,32.666666666732,10.0,32.666666666732,10.0,30,0,1132444,7,0,0.0,0.0
110,36,3,1.0811482121094003,2.0078466796264487,1.0811482121094003,2.0078466796264487,32.666666666732,10.0,32.666666666732,10.0,30,0,1132444,7,0,0.0,0.0
111,37,1,1.0858007801860912,1.1892103782967989,69.31520839990742,19.86225269936886,52.474747474695995,3.0,79.191919191938,85.0,24,0,1114567,4,0,68.22940761972133,18.67304232107206
112,37,2,7.4814800634757805,5.6859248482327445,29.753399054131254,10.903419529141567,56.424242424284,36.0,74.24242424244801,65.0,24,0,1114567,4,0,22.27191899065547,5.217494680908823
113,37,3,2.0414135001701457,1.8638992827608543,56.31396951030141,12.13394923149082,51.474747474794,12.0,84.141414141428,83.0,24,0,1114567,4,0,54.27255601013127,10.270049948729966
114,38,1,13.148664990976593,12.911752108279773,54.26590139650793,13.183241582265753,50.4949494949,50.0,83.16161616153398,81.0,35,0,1554478,4,1,41.11723640553134,0.2714894739859801
115,38,2,13.148664990976593,12.911752108279773,3.6648839064470784,1.674682049970834,50.4949494949,50.0,70.29292929286,21.0,35,0,1554478,4,1,-9.483781084529515,-11.23707005830894
116,38,3,13.148664990976593,12.911752108279773,28.66829784820139,10.998529363183364,50.4949494949,50.0,74.252525252452,63.99999999999999,35,0,1554478,4,1,15.519632857224797,-1.9132227450964088
117,39,1,11.606412215437597,14.185614929950628,54.73480997685979,34.4626581335295,55.444444444389994,50.0,61.373737373774,78.0,24,1,724023,4,0,43.12839776142219,20.277043203578874
118,39,2,51.04932739569006,51.986012301938466,60.93108293717387,29.03427441969092,48.5050505051,80.0,68.30303030306,80.0,24,1,724023,4,0,9.881755541483813,-22.951737882247546
119,39,3,41.43336489816466,40.68681778280991,60.98652850851594,30.285827082421804,49.494949494998004,75.0,67.313131313162,80.0,24,1,724023,4,0,19.553163610351277,-10.400990700388107
120,40,1,13.150981255466297,8.2802474571337,31.47267517119641,9.988334036357296,37.626262626226,47.0,77.212121212142,67.0,30,0,1415385,1,0,18.321693915730116,1.708086579223595
121,40,2,3.4945789416562785,3.558699656175611,42.92462353338135,15.730141543271328,48.5050505051,23.0,74.24242424244801,73.0,30,0,1415385,1,0,39.43004459172507,12.171441887095718
122,40,3,1.38296897824662,4.357656969175282,29.393915098490815,15.203749188854871,20.787878787956018,26.0,66.32323232326401,63.99999999999999,30,0,1415385,1,0,28.010946120244196,10.84609221967959
123,41,1,120.44940895958187,122.65948985814141,15.326249741025698,8.587047727263396,49.505050505001996,99.0,65.34343434337,50.0,33,1,646475,3,1,-105.12315921855617,-114.07244213087802
124,41,2,122.65948985792662,120.44940895980461,34.97043773912107,10.020768708913044,50.4949494949,99.0,80.19191919184,70.0,33,1,646475,3,1,-87.68905211880555,-110.42864025089158
125,41,3,13.148664990976593,12.911752108279773,9.523419397420273,4.3517611816155055,50.4949494949,50.0,70.29292929286,40.0,33,1,646475,3,1,-3.62524559355632,-8.559990926664266
126,42,1,122.65948985792662,120.44940895980461,15.326249741025698,8.587047727263396,50.4949494949,99.0,65.34343434337,50.0,33,1,1134329,3,1,-107.33324011690092,-111.86236123254122
127,42,2,120.44940895958187,122.65948985814141,14.931809085563383,10.144511516169086,49.505050505001996,99.0,60.39393939388,50.0,33,1,1134329,3,1,-105.51759987401849,-112.51497834197232
128,42,3,120.44940895958187,122.65948985814141,9.316199285642213,6.329326232244537,49.505050505001996,99.0,60.39393939388,40.0,33,1,1134329,3,1,-111.13320967393966,-116.33016362589687
129,43,1,3.7368058266194866,5.102949892254295,14.474490919892338,6.069947805108985,58.41414141408399,28.0,71.272727272754,49.0,33,0,842482,2,0,10.737685093272852,0.9669979128546897
130,43,2,28.428394116941902,25.95635984585903,2.1001138965674744,1.7824496096887856,51.474747474794,66.0,53.454545454590004,12.0,33,0,842482,2,0,-26.328280220374428,-24.173910236170244
131,43,3,58.479735222310225,59.55275788683148,25.57923099219538,12.188761076802725,48.5050505051,83.0,68.30303030306,61.00000000000001,33,0,842482,2,0,-32.90050423011485,-47.36399681002875
132,44,1,9.119704944148957,4.910610354535271,11.907989642802443,9.39085362073175,33.666666666634,39.0,55.434343434386,46.0,53,1,1507503,1,0,2.788284698653486,4.48024326619648
133,44,2,4.1275131552839355,5.636496459354056,6.329326232244537,9.316199285642213,40.58585858591601,29.999999999999996,38.60606060612,40.0,53,1,1507503,1,0,2.201813076960602,3.679702826288157
134,44,3,10.726802360204148,18.40772256869935,4.082168279863632,7.892192007714961,34.646464646528,53.99999999999999,31.676767676834004,36.0,53,1,1507503,1,0,-6.644634080340516,-10.515530560984388
135,45,1,1.0089658151756773,0.9907862509400793,9.744520184992668,3.7384637187833203,50.4949494949,1.0,74.252525252452,41.0,23,1,844292,1,1,8.73555436981699,2.747677467843241
136,45,2,1.0089658151756773,0.9907862509400793,14.266924105503517,5.473474027915948,50.4949494949,1.0,74.252525252452,49.0,23,1,844292,1,1,13.257958290327839,4.482687776975869
