,age,cond,gender,pol_orient,position,subj_id,subj_post_a,subj_post_b,subj_post_belief,subj_post_con,subj_prior_a,subj_prior_b,subj_prior_belief,subj_prior_con,time,subj_a_diff,subj_b_diff
43,65,2,1,7,1,14,56.90585499794502,21.8318060055742,74.252525252452,79.0,1.6438181994250727,1.4471220046248727,53.46464646459399,8.0,2050224,55.26203679851995,20.384684000949328
44,65,3,1,7,1,14,37.510472259042025,25.484213977574807,60.39393939388,70.0,24.40870798903239,17.87409325184974,58.41414141408399,61.00000000000001,2050224,13.101764270009635,7.610120725725068
45,43,1,1,1,1,15,11.979701277490987,5.023745697028146,72.272727272656,45.0,2.7890461729185936,2.64095522568888,51.48484848479799,18.0,876447,9.190655104572393,2.3827904713392662
46,43,2,1,1,1,15,30.56844846659125,13.386183315476172,71.28282828275799,65.0,1.502050886995956,1.4222959726448285,51.48484848479799,7.0,876447,29.066397579595293,11.963887342831343
47,43,3,1,1,1,15,15.214587752733328,9.21759695970763,63.36363636357399,50.0,2.041413500167052,1.8638992827647534,52.474747474695995,12.0,876447,13.173174252566277,7.3536976769428755
48,69,1,0,7,0,16,10.438795041779699,4.571237044433982,70.282828282856,42.0,13.518583233435114,23.198556412873838,64.353535353472,58.99999999999999,949226,-3.0797881916554157,-18.627319368439856
49,69,2,0,7,0,16,33.729788725236666,16.750167190062225,67.313131313162,67.0,12.012023582706933,17.028033430393048,39.595959596018005,53.0,949226,21.717765142529736,-0.2778662403308232
50,69,3,0,7,0,16,30.776199921497334,15.283419008615306,67.313131313162,65.0,22.555528760625986,8.265690663822694,74.24242424244801,58.99999999999999,949226,8.220671160871348,7.017728344792612
51,57,1,0,6,0,17,5.290346395676001,9.07849566663117,34.646464646528,39.0,13.190457904201471,20.94955078897606,62.37373737367599,57.0,1449880,-7.9001115085254705,-11.871055122344892
52,57,2,0,6,0,17,4.301382026527555,7.099871537745039,35.63636363642601,34.0,14.672125971210317,10.7441552387439,57.414141414182005,50.0,1449880,-10.370743944682761,-3.6442837009988613
53,57,3,0,6,0,17,3.88801272721548,7.516824605929552,31.676767676834004,35.0,20.431419412130758,35.061324670112,34.646464646528,68.0,1449880,-16.54340668491528,-27.54450006418245
54,52,1,1,1,0,18,55.607673977038786,29.94259367990448,65.333333333366,78.0,2.3778753289116454,1.945534360015475,44.555555555512,14.0,1423420,53.229798648127144,27.997059319889004
55,52,2,1,1,0,18,26.50226575901424,11.113853382799318,71.272727272754,62.0,1.4767759884080698,1.4501674120377726,49.494949494998004,7.0,1423420,25.02548977060617,9.663685970761545
56,52,3,1,1,0,18,58.267473307810285,30.138348262621466,66.32323232326401,79.0,1.8328403141171201,1.8664704116204625,48.5050505051,11.0,1423420,56.434632993693164,28.271877851001005
57,40,1,0,4,0,19,52.765659685901234,15.11998435442445,79.191919191938,79.0,76.7083366826823,78.11582909873627,50.4949494949,89.0,1338841,-23.942676996781067,-62.995844744311825
58,40,2,0,4,0,19,51.84852721396391,12.595969888126474,82.161616161632,80.0,93.57920664598836,91.89309481436536,49.494949494998004,93.0,1338841,-41.73067943202445,-79.29712492623888
59,40,3,0,4,0,19,23.904910120527447,15.637046469796111,60.383838383876004,60.0,70.07921729641423,71.3650744943838,48.5050505051,87.0,1338841,-46.17430717588678,-55.728028024587694
60,29,1,0,1,1,20,24.292641323456376,14.156143505071137,64.353535353472,60.0,3.940362598866859,3.8693650745699872,50.4949494949,25.0,503858,20.352278724589517,10.28677843050115
61,29,2,0,1,1,20,11.416748217971357,7.188322952073129,62.37373737367599,44.0,1.3898038358784848,1.3647623253245973,50.4949494949,6.0,503858,10.026944382092871,5.823560626748532
62,29,3,0,1,1,20,22.974993320305018,14.465736535041254,62.37373737367599,58.99999999999999,1.4767759884055,1.4501674120404704,50.4949494949,7.0,503858,21.498217331899518,13.015569123000784
63,45,1,0,4,0,21,97.09327875629545,20.920651223713914,84.141414141428,95.0,78.7279259952245,83.14257605087714,51.48484848479799,90.0,594797,18.36535276107095,-62.22192482716322
64,45,2,0,4,0,21,63.90903217610685,9.703465618354837,89.090909090918,90.0,42.15168254100703,39.91354010513163,50.484848484896006,75.0,594797,21.75734963509982,-30.210074486776794
65,45,3,0,4,0,21,134.79738377839547,42.78000802543414,77.212121212142,99.0,118.16082524854262,124.78666591645357,47.51515151520201,99.0,594797,16.63655852985285,-82.00665789101943
66,43,1,0,5,0,22,0.8185472976426537,1.2048280448420767,38.60606060612,2.0,11.851609682714296,18.11797802065914,61.383838383778,53.99999999999999,837602,-11.033062385071641,-16.913149975817063
67,43,2,0,5,0,22,14.5979720331207,29.395916285791216,30.68686868693601,63.99999999999999,16.10451073337473,11.793066914972933,57.414141414182005,52.0,837602,-1.5065387002540316,17.602849370818284
68,43,3,0,5,0,22,3.490910591085172,1.6634540400452213,68.30303030306,20.0,1.1385480586811798,2.4916051718891294,28.707070707140005,14.0,837602,2.3523625324039923,-0.8281511318439081
69,48,1,1,7,1,23,53.06838939395731,13.6461572727944,82.17171717163599,80.0,8.902533777303852,8.128400405379788,52.474747474695995,41.0,1079729,44.16585561665346,5.517756867414612
70,48,2,1,7,1,23,35.27290620320383,16.80789490224603,69.303030302962,68.0,8.488802202063095,7.750645488854904,52.474747474695995,40.0,1079729,26.784104001140737,9.057249413391126
71,48,3,1,7,1,23,62.20454938156948,15.111839680340807,83.16161616153398,84.0,7.3534207068450375,6.713992819306018,52.474747474695995,37.0,1079729,54.85112867472444,8.39784686103479
72,25,1,0,1,0,24,60.804659232067685,27.78491050998365,69.29292929295801,80.0,1.7306374048541875,1.7623922196189497,50.4949494949,10.0,677867,59.0740218272135,26.0225182903647
73,25,2,0,1,0,24,55.223888539536375,15.82438911365253,79.191919191938,80.0,1.7623922196220196,1.7306374048509712,49.494949494998004,10.0,677867,53.46149631991435,14.093751708801559
74,25,3,0,1,0,24,59.04220610936805,21.636584847508338,74.24242424244801,80.0,2.9918662557309923,3.046762884270975,48.5050505051,20.0,677867,56.05033985363706,18.589821963237362
75,51,1,1,2,0,25,23.3520898754674,12.078667176950255,66.32323232326401,58.99999999999999,33.273509807996,35.13931409622961,51.48484848479799,71.0,1294936,-9.9214199325286,-23.060646919279357
76,51,2,1,2,0,25,38.257045627724004,16.043277198704054,71.272727272754,70.0,112.08398467641179,110.0644534207848,49.494949494998004,97.0,1294936,-73.82693904868779,-94.02117622208075
